Re=200, We=2.0, Ma=0.04, t=8.0005, E_k=0.111323125003, E_e=2983.77043138
Re=25, We=0.001, Ma=0.0025, t=8.0005, E_k=0.101233889369, E_e=5.16913134598e-05
Re=25, We=0.1, Ma=0.0025, t=8.0005, E_k=0.103433253691, E_e=0.360464336295
Re=25, We=0.5, Ma=0.0025, t=8.0005, E_k=0.100853070019, E_e=63.5603498682
Re=25, We=1.0, Ma=0.0025, t=8.0005, E_k=0.108566052381, E_e=773.352494923
Re=25, We=2.0, Ma=0.0025, t=8.0005, E_k=0.117342207639, E_e=2863.11810587
Re=50.0, We=0.001, Ma=0.005, t=8.0005, E_k=0.0988112133874, E_e=5.16701008938e-05
Re=50.0, We=0.1, Ma=0.005, t=8.0005, E_k=0.103306214054, E_e=0.361707635125
Re=50.0, We=0.5, Ma=0.005, t=8.0005, E_k=0.100722464366, E_e=64.4290399271
Re=50.0, We=1.0, Ma=0.005, t=8.0005, E_k=0.108591041349, E_e=785.560974691
Re=50.0, We=2.0, Ma=0.005, t=8.0005, E_k=0.117247203502, E_e=2861.47277412
Re=100, We=0.001, Ma=0.01, t=8.0005, E_k=0.0951996712064, E_e=5.17029376502e-05
Re=100, We=0.1, Ma=0.01, t=8.0005, E_k=0.102820337775, E_e=0.36428835699
Re=100, We=0.25, Ma=0.01, t=8.0005, E_k=0.102164756418, E_e=2.95130108935
Re=100, We=0.5, Ma=0.01, t=8.0005, E_k=0.100232921261, E_e=66.1380775057
Re=100, We=1.0, Ma=0.01, t=8.0005, E_k=0.108421087076, E_e=813.812983747
Re=200.0, We=0.001, Ma=0.02, t=8.0005, E_k=0.0890583324369, E_e=5.14699826086e-05
Re=200.0, We=0.1, Ma=0.02, t=8.0005, E_k=0.0987626921156, E_e=0.367808953264
Re=200.0, We=0.25, Ma=0.02, t=8.0005, E_k=0.100275942605, E_e=3.02472000749
Re=200.0, We=0.5, Ma=0.02, t=8.0005, E_k=0.0983712633519, E_e=69.1561723864
